word,meaning,skill_level,image_path
Drag and Drop,"Spostare qualcosa sullo schermo prendendolo con il mouse e spostandolo in un altro punto. Esempio: Trascina una foto dalla tua cartella alla finestra di un programma per caricarla.",0.4,images/drag.gif
Email,"Un messaggio che invii tramite Internet. Bisogna avere un account per poter mandare una email. Si possono avere account con Google, Yahoo, Libero, etc.",0.4,images/18.jpg
Social Media,"Siti web dove puoi condividere foto, video e messaggi con altre persone (es. Facebook, Instagram).",0.5,images/19.jpg
Password,"Una parola che viene chiesta per accedere ad un account. Solo il proprietario dell'account deve saperla! Inoltre deve essere difficile per non essere scoperta",0.5,images/20.jpg
App (Applicazione),"Un programma (software) che usi su telefono per fare qualcosa di specifico (es. Whatsapp, Calendario, YouTube, Calcolatrice)",0.4,images/21.jpg
Smartwatch,"Orologio che può connettersi a internet o al telefono per fare cose, come leggere messaggi o contare i passi.",0.5,images/22.jpg
Scorrimento (scrolling),"Muovere il dito su uno schermo o usare il mouse (con la rotellina) per spostarsi nella pagina.",0.3,images/23.jpg
Notifiche,"Messaggi che appaiono sullo schermo per informarti su eventi o aggiornamenti.",0.3,images/24.jpg
Webcam,"Fotocamera che permette di fare videochiamate (es. Google Meet) o di registrare video",0.4,images/25.jpg
Cuffie,"Dispositivi che permettono di ascoltare suoni senza disturbare gli altri.",0.3,images/26.jpg
Bluetooth,"Tecnologia che permette di connettere dispositivi senza fili, come auricolari o tastiere",0.4,images/27.jpg
Wireless,"Tecnologia che permette di inviare dati senza usare fili. Ad esempio il Wi-Fi o il Bluetooth.",0.4,images/28.jpg
Dispositivo (device),"Un oggetto elettronico (un telefono, un computer, un tablet, uno smartwatch, etc.) che usi per accedere a internet o fare altre attività digitali",0.3,images/29.jpg
Microfono,"Dispositivo che cattura i suoni.",0.3,images/30.jpg
Condivisione (share),"Funzione che ti permette di inviare file, foto o link ad altri.",0.3,images/31.jpg
Geolocalizzazione,"Tecnologia che permette di sapere dove ci troviamo.",0.5,images/32.jpg
Download (scaricare),"Scaricare un file da Internet al tuo dispositivo.",0.3,images/33.jpg
Upload (caricare),"Caricare un file dal tuo dispositivo su Internet.",0.3,images/34.jpg
Hotspot Wi-Fi,"Funzione che crea una rete Wi-Fi per condividere la connessione internet con altri dispositivi. Così gli altri che non hanno internet con la loro SIM card, possono usare la tua connessione.",0.5,images/35.jpg
QR code,"Un codice che puoi scansionare con il telefono per accedere a informazioni o a una pagina web.",0.4,images/36.jpg
Screenshot,"Immagine dello schermo che si scatta per salvare o condividere quello che vedi.",0.4,images/37.jpg
Account,"Un profilo che crei su un sito web per poter usare i suoi servizi. Ad esempio, per usare Facebook, devi avere un account con il tuo nome e una password.",0.3,images/account.jpg
Registrazione (sign up),"Serve per creare un nuovo account su un sito o un'app. Normalmente viene chiesto di inserire nome, email e password.",0.4,images/38.jpg
Link,"Un collegamento che ti porta a un'altra pagina web o risorsa online.",0.3,images/39.jpg
Login,"Serve per accedere a un sito o a un'app dove hai già effettuato la registrazione.",0.4,images/40.jpg
Logout,"Serve per uscire da un sito o un'app, quando non vuoi più essere connesso al tuo account. È importante fare il logout quando usiamo il device di qualcun altro, altrimenti gli altri possono continuare a fare delle cose sul nostro account",0.5,images/41.jpg
App Store / Play Store,"Sono le app dove puoi scaricare le altre app.",0.3,images/42.jpg
Aggiornamento (update),"Installare una nuova versione di un'app o software. A volte bisogna farlo per aprire l'app.",0.4,images/43.jpg
Tutorial,"Una guida passo-passo che insegna come fare qualcosa, come usare un programma o una funzione.",0.4,images/44.jpg
Truffa online (scam),"Quando qualcuno cerca di ingannarti su internet per rubare i tuoi soldi o le tue informazioni. Esempio: Ricevi un sms con un link, che sembra venire dalla tua banca, ma in realtà è un trucco per farti perdere soldi",0.5,images/scam.jpg
